sku_id,category,week,your_price,competitor_price,cost,units_sold
ELE_0001,Electronics,1,499.76,529.35,318.29,40
ELE_0001,Electronics,2,505.4,544.99,318.29,45
ELE_0001,Electronics,3,464.52,457.61,318.29,56
ELE_0001,Electronics,4,503.05,524.76,318.29,51
ELE_0001,Electronics,5,479.73,440.47,318.29,51
ELE_0001,Electronics,6,461.41,506.76,318.29,53
ELE_0001,Electronics,7,494.91,473.31,318.29,53
ELE_0001,Electronics,8,501.42,543.3,318.29,45
ELE_0001,Electronics,9,480.85,415.04,318.29,51
ELE_0001,Electronics,10,491.29,527.36,318.29,47
ELE_0001,Electronics,11,474.05,455.63,318.29,53
ELE_0001,Electronics,12,467.48,415.58,318.29,49
ELE_0001,Electronics,13,469.28,493.19,318.29,55
ELE_0001,Electronics,14,498.51,528.46,318.29,49
ELE_0001,Electronics,15,498.49,544.07,318.29,48
ELE_0001,Electronics,16,472.24,498.09,318.29,52
ELE_0001,Electronics,17,467.98,398.82,318.29,53
ELE_0001,Electronics,18,490.41,520.59,318.29,47
ELE_0001,Electronics,19,480.48,490.39,318.29,49
ELE_0001,Electronics,20,463.86,487.29,318.29,57
ELE_0001,Electronics,21,485.6,524.21,318.29,50
ELE_0001,Electronics,22,485.04,493.66,318.29,52
ELE_0001,Electronics,23,459.82,451.09,318.29,57
ELE_0001,Electronics,24,478.04,528.72,318.29,46
ELE_0001,Electronics,25,461.15,430.91,318.29,54
ELE_0001,Electronics,26,490.27,498.66,318.29,49
ELE_0002,Electronics,1,438.8,394.96,277.22,46
ELE_0002,Electronics,2,408.0,435.22,277.22,55
ELE_0002,Electronics,3,411.03,411.16,277.22,54
ELE_0002,Electronics,4,433.8,426.79,277.22,48
ELE_0002,Electronics,5,417.0,433.3,277.22,45
ELE_0002,Electronics,6,407.9,361.16,277.22,49
ELE_0002,Electronics,7,442.83,469.36,277.22,45
ELE_0002,Electronics,8,445.4,482.65,277.22,49
ELE_0002,Electronics,9,423.29,394.37,277.22,46
ELE_0002,Electronics,10,442.57,436.7,277.22,41
ELE_0002,Electronics,11,417.19,427.1,277.22,49
ELE_0002,Electronics,12,440.61,474.78,277.22,45
ELE_0002,Electronics,13,422.55,438.69,277.22,57
ELE_0002,Electronics,14,431.82,377.99,277.22,49
ELE_0002,Electronics,15,405.94,405.21,277.22,57
ELE_0002,Electronics,16,410.32,361.5,277.22,48
ELE_0002,Electronics,17,411.43,463.9,277.22,50
ELE_0002,Electronics,18,418.93,430.36,277.22,50
ELE_0002,Electronics,19,444.95,442.59,277.22,47
ELE_0002,Electronics,20,407.69,406.06,277.22,67
ELE_0002,Electronics,21,444.07,453.63,277.22,39
ELE_0002,Electronics,22,415.53,394.53,277.22,50
ELE_0002,Electronics,23,422.84,362.16,277.22,54
ELE_0002,Electronics,24,442.3,394.56,277.22,43
ELE_0002,Electronics,25,408.79,429.91,277.22,52
ELE_0002,Electronics,26,435.1,470.17,277.22,52
ELE_0003,Electronics,1,530.59,539.32,338.0,63
ELE_0003,Electronics,2,574.67,627.81,338.0,44
ELE_0003,Electronics,3,581.52,545.04,338.0,46
ELE_0003,Electronics,4,542.75,613.75,338.0,53
ELE_0003,Electronics,5,531.01,520.67,338.0,48
ELE_0003,Electronics,6,578.12,621.24,338.0,47
ELE_0003,Electronics,7,578.21,581.48,338.0,52
ELE_0003,Electronics,8,571.46,599.17,338.0,52
ELE_0003,Electronics,9,533.77,573.29,338.0,53
ELE_0003,Electronics,10,580.63,535.51,338.0,53
ELE_0003,Electronics,11,574.75,514.97,338.0,46
ELE_0003,Electronics,12,561.86,625.0,338.0,55
ELE_0003,Electronics,13,545.77,591.19,338.0,49
ELE_0003,Electronics,14,556.37,496.93,338.0,51
ELE_0003,Electronics,15,541.29,481.5,338.0,54
ELE_0003,Electronics,16,535.29,536.31,338.0,49
ELE_0003,Electronics,17,560.84,510.33,338.0,48
ELE_0003,Electronics,18,568.31,609.06,338.0,48
ELE_0003,Electronics,19,535.39,604.06,338.0,50
ELE_0003,Electronics,20,545.25,543.38,338.0,53
ELE_0003,Electronics,21,581.67,544.4,338.0,44
ELE_0003,Electronics,22,529.89,538.66,338.0,54
ELE_0003,Electronics,23,534.4,476.74,338.0,54
ELE_0003,Electronics,24,582.26,599.04,338.0,43
ELE_0003,Electronics,25,573.26,567.65,338.0,45
ELE_0003,Electronics,26,529.5,467.41,338.0,50
ELE_0004,Electronics,1,495.87,511.64,300.64,47
ELE_0004,Electronics,2,488.13,477.28,300.64,50
ELE_0004,Electronics,3,512.51,505.42,300.64,56
ELE_0004,Electronics,4,481.33,516.85,300.64,60
ELE_0004,Electronics,5,474.83,413.09,300.64,51
ELE_0004,Electronics,6,476.85,523.29,300.64,48
ELE_0004,Electronics,7,476.74,536.95,300.64,54
ELE_0004,Electronics,8,483.7,433.44,300.64,46
ELE_0004,Electronics,9,470.67,407.89,300.64,54
ELE_0004,Electronics,10,472.27,485.18,300.64,58
ELE_0004,Electronics,11,489.09,462.38,300.64,51
ELE_0004,Electronics,12,512.88,566.91,300.64,48
ELE_0004,Electronics,13,478.6,440.8,300.64,62
ELE_0004,Electronics,14,497.87,485.36,300.64,46
ELE_0004,Electronics,15,488.1,491.58,300.64,46
ELE_0004,Electronics,16,510.83,442.17,300.64,49
ELE_0004,Electronics,17,474.53,523.44,300.64,55
ELE_0004,Electronics,18,518.05,564.99,300.64,47
ELE_0004,Electronics,19,501.39,543.36,300.64,48
ELE_0004,Electronics,20,496.13,498.25,300.64,55
ELE_0004,Electronics,21,492.51,475.53,300.64,50
ELE_0004,Electronics,22,482.8,430.62,300.64,45
ELE_0004,Electronics,23,490.24,450.91,300.64,44
ELE_0004,Electronics,24,487.74,462.5,300.64,50
ELE_0004,Electronics,25,503.53,472.85,300.64,53
ELE_0004,Electronics,26,514.93,511.98,300.64,51
ELE_0005,Electronics,1,363.9,397.13,273.17,47
ELE_0005,Electronics,2,363.19,340.11,273.17,53
ELE_0005,Electronics,3,347.76,368.08,273.17,51
ELE_0005,Electronics,4,362.53,318.49,273.17,56
ELE_0005,Electronics,5,343.53,388.46,273.17,53
ELE_0005,Electronics,6,374.87,408.71,273.17,52
ELE_0005,Electronics,7,368.56,401.19,273.17,44
ELE_0005,Electronics,8,349.59,359.04,273.17,49
ELE_0005,Electronics,9,362.59,326.83,273.17,53
ELE_0005,Electronics,10,361.02,357.34,273.17,50
ELE_0005,Electronics,11,367.89,400.92,273.17,54
ELE_0005,Electronics,12,362.0,408.83,273.17,51
ELE_0005,Electronics,13,344.7,302.06,273.17,54
ELE_0005,Electronics,14,355.51,384.77,273.17,54
ELE_0005,Electronics,15,352.46,394.58,273.17,52
ELE_0005,Electronics,16,350.2,335.93,273.17,51
ELE_0005,Electronics,17,346.15,309.57,273.17,57
ELE_0005,Electronics,18,356.2,343.73,273.17,56
ELE_0005,Electronics,19,360.33,407.48,273.17,50
ELE_0005,Electronics,20,357.69,344.42,273.17,55
ELE_0005,Electronics,21,366.23,415.8,273.17,50
ELE_0005,Electronics,22,370.99,386.25,273.17,40
ELE_0005,Electronics,23,361.59,381.78,273.17,49
ELE_0005,Electronics,24,356.79,391.62,273.17,45
ELE_0005,Electronics,25,356.94,350.76,273.17,52
ELE_0005,Electronics,26,373.42,404.93,273.17,41
ELE_0006,Electronics,1,585.53,644.71,460.69,54
